"filename", "language", "HTML", "JavaScript", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "XML", "Markdown", "comment", "blank", "total"
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\package-lock.json", "JSON", 0, 0, 0, 0, 3029, 0, 0, 0, 0, 1, 3030
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\package.json", "JSON", 0, 0, 0, 0, 48, 0, 0, 0, 0, 1, 49
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\app.ts", "TypeScript", 0, 0, 78, 0, 0, 0, 0, 0, 0, 16, 94
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\db.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 6, 21
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\middleware\authenticate.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 7, 46
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\blogs.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\comments.ts", "TypeScript", 0, 0, 319, 0, 0, 0, 0, 0, 2, 66, 387
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\conversations.ts", "TypeScript", 0, 0, 188, 0, 0, 0, 0, 0, 6, 41, 235
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\favourites.ts", "TypeScript", 0, 0, 80, 0, 0, 0, 0, 0, 0, 17, 97
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\forms.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 8, 35
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\messages.ts", "TypeScript", 0, 0, 104, 0, 0, 0, 0, 0, 1, 21, 126
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\network.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 10, 52
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\notifications.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 13, 72
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\profile.ts", "TypeScript", 0, 0, 193, 0, 0, 0, 0, 0, 7, 45, 245
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\purchases.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 7, 33
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\stripe.ts", "TypeScript", 0, 0, 227, 0, 0, 0, 0, 0, 0, 43, 270
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\tutorials.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 6, 38
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\user.ts", "TypeScript", 0, 0, 408, 0, 0, 0, 0, 0, 2, 89, 499
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\services\commentService.ts", "TypeScript", 0, 0, 147, 0, 0, 0, 0, 0, 2, 24, 173
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\services\emailService.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 12, 68
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\services\subscriptionService.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 1, 9, 48
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\AuthRequest.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\Blog.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\CartItem.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\Comment.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\ContentType.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\Conversations.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\Email.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\GoogleResponse.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\Messages.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\Notifications.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\PurchasedItem.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\Tutorial.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\User.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\express.d.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\utils\fetchReplies.ts", "TypeScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 11, 69
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\utils\formValidation.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\utils\getUserIdFromToken.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 19
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\utils\jwtUtils.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 34
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\utils\storageConfig.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 8, 32
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\utils\userUtils.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\tsconfig-paths-bootstrap.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\tsconfig.json", "JSON with Comments", 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\.eslintrc.cjs", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 10, 0, 9, 19
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 3715, 0, 0, 0, 0, 1, 3716
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\package.json", "JSON", 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 40
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\GlobalStyles.ts", "TypeScript", 0, 0, 100, 0, 0, 0, 0, 0, 0, 16, 116
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\PageWrapper.styled.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\api\api.ts", "TypeScript", 0, 0, 80, 0, 0, 0, 0, 0, 1, 16, 97
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\assets\blogContent.ts", "TypeScript", 0, 0, 143, 0, 0, 0, 0, 0, 0, 2, 145
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\assets\images\SquaresAndTriangles.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\assets\images\blogs\WebAssembly_Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 3, 0, 8
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\assets\images\plansAndPricing\Ellipse7.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\assets\images\plansAndPricing\golden-medal.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\assets\images\swirly-line-bg.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\assets\tutorialContent.ts", "TypeScript", 0, 0, 217, 0, 0, 0, 0, 0, 0, 3, 220
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Accordion\Accordion.styled.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Accordion\Accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 3, 6, 44
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\AddToCartButton\AddToCartButton.styled.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\AddToCartButton\AddToCartButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 6, 44
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\BlogDetail\BlogDetail.styled.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\BlogDetail\BlogDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 7, 35
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\BurgerMenu\BurgerMenu.styled.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 1, 4, 31
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\BurgerMenu\BurgerMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\CommentSection\CommentSection.styled.ts", "TypeScript", 0, 0, 87, 0, 0, 0, 0, 0, 0, 15, 102
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\CommentSection\CommentSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 339, 0, 0, 0, 46, 385
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\CommentSection\Comment\Comment.styled.ts", "TypeScript", 0, 0, 131, 0, 0, 0, 0, 0, 0, 16, 147
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\CommentSection\Comment\Comment.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 168, 0, 0, 0, 14, 182
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\DeleteConfirmationModal\DeleteConfirmationModal.styled.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 7, 49
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\DeleteConfirmationModal\DeleteConfirmationModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 4, 31
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\FavouriteButton\FavouriteButton.styled.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\FavouriteButton\FavouriteButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Footer\Footer.styled.ts", "TypeScript", 0, 0, 160, 0, 0, 0, 0, 0, 0, 23, 183
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Footer\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 83, 0, 0, 0, 8, 91
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\FormWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\GoogleAuthButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\InputField.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 4, 24
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\Message.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\SubmitButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\TermsCheckbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 5, 37
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\styles\FormMessage.styled.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\styles\FormWrapper.styled.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 6, 34
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\styles\GoogleAuthButton.styled.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\styles\InputField.styled.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 7, 34
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\styles\SubmitButton.styled.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\styles\TermsCheckbox.styled.ts", "TypeScript", 0, 0, 64, 0, 0, 0, 0, 0, 0, 10, 74
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\LoadingOverlay\LoadingOverlay.styled.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\LoadingOverlay\LoadingOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\LoadingSpinner\LoadingSpinner.styled.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\LoadingSpinner\LoadingSpinner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 4, 17
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\MessageModalButton\MessageModalButton.styled.ts", "TypeScript", 0, 0, 83, 0, 0, 0, 0, 0, 6, 13, 102
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\MessageModalButton\MessageModalButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 1, 9, 63
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\Dropdown\Dropdown.styled.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\Dropdown\Dropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 5, 28
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\LoginButton\LoginButton.styled.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\LoginButton\LoginButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 5, 21
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\NavBar.styled.ts", "TypeScript", 0, 0, 152, 0, 0, 0, 0, 0, 0, 27, 179
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\NavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 123, 0, 0, 1, 8, 132
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\Notifications\NotificationItem\NotificationItem.styled.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 10, 69
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\Notifications\NotificationItem\NotificationItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 90, 0, 0, 0, 11, 101
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\Notifications\Notifications.styled.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\Notifications\Notifications.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 141, 0, 0, 1, 17, 159
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\ShoppingCart\ShoppingCart.styled.ts", "TypeScript", 0, 0, 87, 0, 0, 0, 0, 0, 0, 17, 104
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\ShoppingCart\ShoppingCart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 97, 0, 0, 0, 9, 106
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\UserProfileNavBtn\UserProfileNavBtn.styled.ts", "TypeScript", 0, 0, 79, 0, 0, 0, 0, 0, 0, 14, 93
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\UserProfileNavBtn\UserProfileNavBtn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 89, 0, 0, 0, 7, 96
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Navigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 119, 0, 0, 0, 7, 126
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Pagination\Pagination.styled.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 6, 39
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Pagination\Pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 0, 14, 82
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\ProfilePicture\ProfilePicture.styled.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\ProfilePicture\ProfilePicture.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 6, 38
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\ProtectedRoute\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 0, 18, 82
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\RegisterForm\RegisterLoginForm.styled.ts", "TypeScript", 0, 0, 173, 0, 0, 0, 0, 0, 0, 29, 202
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\RegisterForm\RegisterLoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 160, 0, 0, 0, 15, 175
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\SearchBar\SearchBar.styled.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 11, 65
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\SearchBar\SearchBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 0, 9, 68
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\TitleBanner\TitleBanner.styled.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\TitleBanner\TitleBanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 4, 17
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Title\Title.styled.ts", "TypeScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 5, 48
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Title\Title.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 3, 33
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\TutorialDetail\TutorialDetail.styled.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\TutorialDetail\TutorialDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 7, 39
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\UserList\UserList.styled.ts", "TypeScript", 0, 0, 74, 0, 0, 0, 0, 0, 0, 14, 88
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\UserList\UserList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 0, 5, 93
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\context\UserContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 166, 0, 0, 1, 22, 189
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\hooks\useAuthForm.ts", "TypeScript", 0, 0, 170, 0, 0, 0, 0, 0, 0, 25, 195
